"","site","LS","Richness","Abundance","ComSppAb","IntSppAb","RareSppAb"
"1","p01","L01",8,223,209,14,0
"2","p02","L02",9,144,137,6,1
"3","p03","L03",8,126,117,8,1
"4","p04","L04",6,77,75,1,1
"5","p05","L05",9,96,83,11,2
"6","p06","L06",5,113,100,13,0
"7","p07","L07",4,11,11,0,0
"8","p08","L08",5,7,3,4,0
"9","p09","L09",5,11,9,2,0
"10","p10","L10",7,107,98,8,1
"11","p11","L11",8,52,45,5,2
"12","p12","L12",6,95,85,10,0
"13","p13","L13",5,110,103,7,0
"14","p14","L14",6,391,386,3,2
"15","p15","L15",6,327,322,4,1
